ts,temp,VWC
2023-07-25T12:45:00Z,30.275,0.09178650690322954
2023-07-25T13:00:00Z,30.35,0.09182720247207554
2023-07-25T13:15:00Z,29.4875,0.09171720287979514
2023-07-25T13:30:00Z,28.9375,0.09171205027506404
2023-07-25T13:45:00Z,28.55,0.09183155976286698
2023-07-25T14:00:00Z,28.575,0.09201438396726642
2023-07-25T14:15:00Z,30.0375,0.09324899889071765
2023-07-25T14:30:00Z,30.5875,0.09402431960265122
2023-07-25T14:45:00Z,30.4,0.09428152788331234
2023-07-25T15:00:00Z,30.7375,0.09471842831179905
2023-07-25T15:15:00Z,31.0875,0.0949321563504999
2023-07-25T15:30:00Z,31.45,0.09526976631452994
2023-07-25T15:45:00Z,31.625,0.09505944645920088
2023-07-25T16:00:00Z,31.0875,0.09492172629349355
2023-07-25T16:15:00Z,30.825,0.09487990529437623
2023-07-25T16:30:00Z,30.85,0.09488373193051697
2023-07-25T16:45:00Z,30.55,0.09474729714853605
2023-07-25T17:00:00Z,29.4125,0.09365865092134956
2023-07-25T17:15:00Z,29.0875,0.09323197181929332
2023-07-25T17:30:00Z,28.7375,0.09302923555168781
2023-07-25T17:45:00Z,28.025,0.09235170228352245
2023-07-25T18:00:00Z,27.4125,0.09187285577788917
2023-07-25T18:15:00Z,26.8625,0.09153975449340901
2023-07-25T18:30:00Z,26.3375,0.09108020600309658
2023-07-25T18:45:00Z,25.475,0.0905524004953677
2023-07-25T19:00:00Z,24.4625,0.09000086675710996
2023-07-25T19:15:00Z,23.9375,0.08973254365520039
2023-07-25T19:30:00Z,23.45,0.08936153107444608
2023-07-25T19:45:00Z,23.2625,0.08914269344205589
2023-07-25T20:00:00Z,22.6375,0.08877831716296725
2023-07-25T20:15:00Z,21.9875,0.08844325760917461
2023-07-25T20:30:00Z,21.3125,0.088068886361779
2023-07-25T20:45:00Z,20.8125,0.08764989664590696
2023-07-25T21:00:00Z,20.45,0.08728626829227568
2023-07-25T21:15:00Z,20.15,0.08718987596661602
2023-07-25T21:30:00Z,19.8,0.08677444169466314
2023-07-25T21:45:00Z,19.325,0.08645466289106266
2023-07-25T22:00:00Z,19.2375,0.08642090171051206
2023-07-25T22:15:00Z,19,0.0861541433312468
2023-07-25T22:30:00Z,18.8125,0.08596454204980658
2023-07-25T22:45:00Z,18.4625,0.08579846848291368
2023-07-25T23:00:00Z,18.2625,0.0856193269102936
2023-07-25T23:15:00Z,18.15,0.08545402605321267
2023-07-25T23:30:00Z,17.9875,0.08536595047559285
2023-07-25T23:45:00Z,17.725,0.0851488965784033
2023-07-26T00:00:00Z,17.3125,0.08487775613061954
