ts,temp,vwc,series
2023-03-14T12:15:00Z,22.0625,0,94252894
2023-03-14T12:30:00Z,22.125,0,94252894
2023-03-14T12:45:00Z,22.25,0,94252894
2023-03-14T13:00:00Z,22.25,0,94252894
2023-03-14T13:15:00Z,22.125,0,94252894
2023-03-14T13:30:00Z,22.875,0,94252894
2023-03-14T13:45:00Z,22,0,94252894
2023-03-14T14:00:00Z,23.25,0,94252894
2023-03-14T14:15:00Z,22.625,0,94252894
2023-03-14T14:30:00Z,20.1875,0,94252894
2023-03-14T14:45:00Z,18.25,0,94252894
2023-03-14T15:00:00Z,17.375,0,94252894
2023-03-14T15:15:00Z,16.6875,0,94252894
2023-03-14T15:30:00Z,16.25,0,94252894
2023-03-14T15:45:00Z,15.8125,0,94252894
2023-03-14T16:00:00Z,15.5,0,94252894
2023-03-14T16:15:00Z,15.125,0,94252894
2023-03-14T16:30:00Z,15.875,0,94252894
2023-03-14T16:45:00Z,16.75,0,94252894
2023-03-14T17:00:00Z,17.125,0,94252894
2023-03-14T17:15:00Z,17.25,0,94252894
2023-03-14T17:30:00Z,17.5,0,94252894
2023-03-14T17:45:00Z,17.5,0,94252894
2023-03-14T18:00:00Z,17.5,0,94252894
2023-03-14T18:15:00Z,17.5,0,94252894
2023-03-14T18:30:00Z,17.4375,0,94252894
2023-03-14T18:45:00Z,17.25,0,94252894
2023-03-14T19:00:00Z,17.25,0,94252894
2023-03-14T19:15:00Z,17.125,0,94252894
2023-03-14T19:30:00Z,16.8125,0,94252894
2023-03-14T19:45:00Z,16.75,0,94252894
2023-03-14T20:00:00Z,16.75,0,94252894
2023-03-14T20:15:00Z,16.8125,0,94252894
2023-03-14T20:30:00Z,16.875,0,94252894
2023-03-14T20:45:00Z,16.625,0,94252894
2023-03-14T21:00:00Z,15.75,0,94252894
2023-03-14T21:15:00Z,15.125,0,94252894
2023-03-14T21:30:00Z,14.9375,0,94252894
2023-03-14T21:45:00Z,14.875,0,94252894
2023-03-14T22:00:00Z,15,0,94252894
2023-03-14T22:15:00Z,15.25,0,94252894
2023-03-14T22:30:00Z,15.5,0,94252894
2023-03-14T22:45:00Z,15.875,0,94252894
2023-03-14T23:00:00Z,16.25,0,94252894
2023-03-14T23:15:00Z,16.25,0,94252894
2023-03-14T23:30:00Z,15.4375,0,94252894
2023-03-14T23:45:00Z,14.875,0,94252894
2023-03-15T00:00:00Z,14.125,0,94252894
2023-03-15T00:15:00Z,13.625,0,94252894
2023-03-15T00:30:00Z,13.25,0,94252894
2023-03-15T00:45:00Z,12.875,0,94252894
2023-03-15T01:00:00Z,12.625,0,94252894
2023-03-15T01:15:00Z,12.375,0,94252894
2023-03-15T01:30:00Z,12,0,94252894
2023-03-15T01:45:00Z,11.625,0,94252894
2023-03-15T02:00:00Z,11.1875,0,94252894
2023-03-15T02:15:00Z,10.75,0,94252894
2023-03-15T02:30:00Z,10,0,94252894
2023-03-15T02:45:00Z,11.5,0,94252894
2023-03-15T03:00:00Z,12.875,0,94252894
2023-03-15T03:15:00Z,14,0,94252894
2023-03-15T03:30:00Z,15,0,94252894
2023-03-15T03:45:00Z,15.75,0,94252894
2023-03-15T04:00:00Z,15.875,0,94252894
2023-03-15T04:15:00Z,15.75,0,94252894
2023-03-15T04:30:00Z,15.5,0,94252894
2023-03-15T04:45:00Z,15.5,0,94252894
2023-03-15T05:00:00Z,15.875,0,94252894
2023-03-15T05:15:00Z,14.8125,0,94252894
2023-03-15T05:30:00Z,14.25,0,94252894
2023-03-15T05:45:00Z,14,0,94252894
2023-03-15T06:00:00Z,14.25,0,94252894
2023-03-15T06:15:00Z,14,0,94252894
2023-03-15T06:30:00Z,13.8125,0,94252894
2023-03-15T06:45:00Z,13.75,0,94252894
2023-03-15T07:00:00Z,13.625,0,94252894
2023-03-15T07:15:00Z,13.375,0,94252894
2023-03-15T07:30:00Z,13.25,0,94252894
2023-03-15T07:45:00Z,13.25,0,94252894
2023-03-15T08:00:00Z,13.125,0,94252894
2023-03-15T08:15:00Z,13.125,0,94252894
2023-03-15T08:30:00Z,13.125,0,94252894
2023-03-15T08:45:00Z,13.1875,0,94252894
2023-03-15T09:00:00Z,13.375,0,94252894
2023-03-15T09:15:00Z,13.625,0,94252894
2023-03-15T09:30:00Z,13.875,0,94252894
2023-03-15T09:45:00Z,14.125,0,94252894
2023-03-15T10:00:00Z,14.375,0,94252894
2023-03-15T10:15:00Z,14.375,0,94252894
2023-03-15T10:30:00Z,14.5,0,94252894
2023-03-15T10:45:00Z,15.125,0,94252894
2023-03-15T11:00:00Z,15.8125,0,94252894
2023-03-15T11:15:00Z,16.375,0,94252894
2023-03-15T11:30:00Z,16.875,0,94252894
2023-03-15T11:45:00Z,17.5,0,94252894
2023-03-15T12:00:00Z,18.125,0,94252894
2023-03-15T12:15:00Z,18.875,0,94252894
2023-03-15T12:30:00Z,19.3125,0,94252894
2023-03-15T12:45:00Z,19.5,0,94252894
2023-03-15T13:00:00Z,19.5625,0,94252894
2023-03-15T13:15:00Z,19.75,0,94252894
2023-03-15T13:30:00Z,21.8125,0,94252894
2023-03-15T13:45:00Z,22,0,94252894
2023-03-15T14:00:00Z,22.125,0,94252894
2023-03-15T14:15:00Z,22.25,0,94252894
2023-03-15T14:30:00Z,22.25,0,94252894
2023-03-15T14:45:00Z,22.3125,0,94252894
2023-03-15T15:00:00Z,22.375,0,94252894
2023-03-15T15:15:00Z,22.4375,0,94252894
2023-03-15T15:30:00Z,22.5,0,94252894
2023-03-15T15:45:00Z,22.5,0,94252894
