ts,temp,vwc
2023-04-03T23:45:00Z,-1.125,0.07785432911676968
2023-04-04T00:00:00Z,-1.4375,0.07758713139021656
2023-04-04T00:15:00Z,-1.4375,0.0775331091217851
2023-04-04T00:30:00Z,-1.625,0.07726582415366545
2023-04-04T00:45:00Z,-2.25,0.07721177888800335
2023-04-04T01:00:00Z,-2.3125,0.07694440665689167
2023-04-04T01:15:00Z,-2.5,0.07667696780742983
2023-04-04T01:30:00Z,-2.375,0.07662287887085328
2023-04-04T01:45:00Z,-2.75,0.07656878758790098
2023-04-04T02:00:00Z,-2.8125,0.07632829703782065
2023-04-04T02:15:00Z,-2.9375,0.0762741839083855
2023-04-04T02:30:00Z,-2.75,0.07600656009963222
2023-04-04T02:45:00Z,-2.625,0.07597949231476514
2023-04-04T03:00:00Z,-1.9375,0.07619300981330326
2023-04-04T03:15:00Z,-1.625,0.07616595060802803
2023-04-04T03:30:00Z,-0.375,0.07613889081596215
2023-04-04T03:45:00Z,0,0.07635239899233473
2023-04-04T04:00:00Z,0.25,0.07635239899233473
2023-04-04T04:15:00Z,-1,0.07632534777821623
2023-04-04T04:30:00Z,-1.875,0.07605770791902097
2023-04-04T04:45:00Z,-2,0.07581707327882875
2023-04-04T05:00:00Z,-2.5,0.07552222816771614
2023-04-04T05:15:00Z,-3,0.07528148084395517
2023-04-04T05:30:00Z,-3.25,0.07522729508551909
2023-04-04T05:45:00Z,-3.3125,0.07498648164859165
2023-04-04T06:00:00Z,-3.625,0.07493227401398314
2023-04-04T06:15:00Z,-4.125,0.07469139445246606
2023-04-04T06:30:00Z,-4.25,0.07439621923731424
2023-04-04T06:45:00Z,-4.0625,0.07439621923731424
2023-04-04T07:00:00Z,-3.5,0.0745829330661299
2023-04-04T07:15:00Z,-2.9375,0.07482385169383024
2023-04-04T07:30:00Z,-1.5,0.07506472371306605
2023-04-04T07:45:00Z,-0.5625,0.0755463279266142
2023-04-04T08:00:00Z,1.25,0.07602774570771392
2023-04-04T08:15:00Z,4.3125,0.07650897705730447
2023-04-04T08:30:00Z,4.125,0.077230474524666
2023-04-04T08:45:00Z,5.25,0.07773822926396731
2023-04-04T09:00:00Z,11.3125,0.07896621843569143
2023-04-04T09:15:00Z,9.625,0.08045964313064913
2023-04-04T09:30:00Z,9.1875,0.08096597983441836
2023-04-04T09:45:00Z,17,0.0846361063970136
