ts,temp,VWC
2022-09-03T21:00:00Z,23.475,0.17420769827972737
2022-09-03T21:15:00Z,23.25,0.1740930282803341
2022-09-03T21:30:00Z,23.0625,0.17392103844183684
2022-09-03T21:45:00Z,22.8375,0.17370268261514127
2022-09-03T22:00:00Z,22.625,0.1735987294497876
2022-09-03T22:15:00Z,22.4,0.17342636428027394
2022-09-03T22:30:00Z,22.2125,0.17314455463837217
2022-09-03T22:45:00Z,22.05,0.17313376808217693
2022-09-03T23:00:00Z,21.8625,0.17297273483255754
2022-09-03T23:15:00Z,21.55,0.17275411129701485
2022-09-03T23:30:00Z,21.3,0.17262853216001595
2022-09-03T23:45:00Z,21.2125,0.17255419451232365
2022-09-04T00:00:00Z,21,0.17234096190755635
2022-09-04T00:15:00Z,20.7125,0.17227824004465608
2022-09-04T00:30:00Z,20.55,0.1720948609939605
2022-09-04T00:45:00Z,20.425,0.1719279507538937
2022-09-04T01:00:00Z,20.5375,0.17192251557327198
2022-09-04T01:15:00Z,20.5375,0.1720157172191177
2022-09-04T01:30:00Z,20.5125,0.1720404607260961
2022-09-04T01:45:00Z,20.45,0.1719257843787331
2022-09-04T02:00:00Z,20.4,0.17181613890387984
2022-09-04T02:15:00Z,20.3875,0.17169603439685363
2022-09-04T02:30:00Z,20.4,0.17169054376788218
2022-09-04T02:45:00Z,20.375,0.17168523339502417
2022-09-04T03:00:00Z,20.25,0.17162249825746115
2022-09-04T03:15:00Z,20.1125,0.17150779082662782
2022-09-04T03:30:00Z,19.85,0.171445086061982
2022-09-04T03:45:00Z,19.475,0.17117399204671083
2022-09-04T04:00:00Z,19.1875,0.17101275768671614
2022-09-04T04:15:00Z,18.85,0.1707937269985632
2022-09-04T04:30:00Z,18.5375,0.17077177467393206
2022-09-04T04:45:00Z,18.25,0.1706106742526431
2022-09-04T05:00:00Z,18.025,0.17047883125694302
2022-09-04T05:15:00Z,17.825,0.17041603434926697
2022-09-04T05:30:00Z,17.65,0.17035304297702772
2022-09-04T05:45:00Z,17.6,0.17032522492991634
2022-09-04T06:00:00Z,17.525,0.1704182236524636
2022-09-04T06:15:00Z,17.5,0.1704479863308532
2022-09-04T06:30:00Z,17.5,0.17043132571381125
2022-09-04T06:45:00Z,17.625,0.17052984295095372
2022-09-04T07:00:00Z,17.9375,0.17066343057521532
2022-09-04T07:15:00Z,18.3875,0.17085468155193237
2022-09-04T07:30:00Z,19.25,0.1711610143530745
2022-09-04T07:45:00Z,19.8375,0.17147276552315213
2022-09-04T08:00:00Z,20.475,0.17182517308312528
2022-09-04T08:15:00Z,21.05,0.17203305228827467
2022-09-04T08:30:00Z,21.7125,0.17229303747271846
2022-09-04T08:45:00Z,22.1375,0.17256387354407637
2022-09-04T09:00:00Z,22.6125,0.17273641858360428
2022-09-04T09:15:00Z,23.2375,0.172804814986885
2022-09-04T09:30:00Z,23.95,0.1730292984446457
2022-09-04T09:45:00Z,24.6125,0.1733114034595714
2022-09-04T10:00:00Z,25.025,0.17344302817474322
2022-09-04T10:15:00Z,25.5,0.1735114654756495
2022-09-04T10:30:00Z,26.1375,0.17374175708333453
2022-09-04T10:45:00Z,26.6375,0.17382718270620232
2022-09-04T11:00:00Z,27.6,0.17401619795081716
2022-09-04T11:15:00Z,28.7625,0.17444798193427216
2022-09-04T11:30:00Z,29.225,0.17464774840879624
2022-09-04T11:45:00Z,29.7125,0.17474922717643704
2022-09-04T12:00:00Z,30.5625,0.1750937336291571
2022-09-04T12:15:00Z,31.6625,0.1757031363070903
2022-09-04T12:30:00Z,32.7625,0.1762713996743623
2022-09-04T12:45:00Z,33.7,0.1766948543994296
2022-09-04T13:00:00Z,34.85,0.177262624320917
2022-09-04T13:15:00Z,34.8125,0.17747851173372567
2022-09-04T13:30:00Z,33.6625,0.17711737104578862
2022-09-04T13:45:00Z,32.8625,0.17668844965984656
2022-09-04T14:00:00Z,32.2,0.17615561002551675
2022-09-04T14:15:00Z,32.3,0.17603265833650333
2022-09-04T14:30:00Z,32.7625,0.17608984589457047
2022-09-04T14:45:00Z,31.9125,0.17590372791462092
2022-09-04T15:00:00Z,31.9375,0.17580576833094674
2022-09-04T15:15:00Z,32.7125,0.175977431766747
2022-09-04T15:30:00Z,33.0375,0.17599939631207612
2022-09-04T15:45:00Z,34.55,0.17656989919933305
2022-09-04T16:00:00Z,35.0375,0.17690818067409442
2022-09-04T16:15:00Z,35,0.17682037069774573
2022-09-04T16:30:00Z,34.3625,0.1766865377513218
2022-09-04T16:45:00Z,33.425,0.17624672123813528
2022-09-04T17:00:00Z,32.6875,0.1758012582096687
2022-09-04T17:15:00Z,32.4375,0.1756510953731162
2022-09-04T17:30:00Z,31.925,0.17543825856292034
2022-09-04T17:45:00Z,30.9625,0.17508053859658942
2022-09-04T18:00:00Z,30.1125,0.17451502432434055
2022-09-04T18:15:00Z,29.35,0.17410544923236024
